"","realpseudo"
"1617","pseudo"
"1618","real"
"1619","pseudo"
"1620","real"
"1621","pseudo"
"1622","real"
"1623","pseudo"
"1624","real"
"1625","pseudo"
"1626","pseudo"
"1627","pseudo"
"1628","real"
"1629","pseudo"
"1630","pseudo"
"1631","real"
"1632","real"
"1633","pseudo"
"1634","pseudo"
"1635","real"
"1636","pseudo"
"1637","pseudo"
"1638","pseudo"
"1639","pseudo"
"1640","real"
"1641","real"
"1642","pseudo"
"1643","pseudo"
"1644","real"
"1645","real"
"1646","pseudo"
"1647","real"
"1648","pseudo"
"1649","real"
"1650","real"
"1651","real"
"1652","pseudo"
"1653","pseudo"
"1654","pseudo"
"1655","pseudo"
"1656","real"
"1657","pseudo"
"1658","real"
"1659","real"
"1660","pseudo"
"1661","real"
"1662","real"
"1663","real"
"1664","pseudo"
"1665","real"
"1666","real"
"1667","real"
"1668","real"
"1669","pseudo"
"1670","pseudo"
"1671","pseudo"
"1672","real"
"1673","real"
"1674","real"
"1675","real"
"1676","pseudo"
"1677","real"
"1678","real"
"1679","pseudo"
"1680","real"
"1681","pseudo"
"1682","pseudo"
"1683","real"
"1684","real"
"1685","real"
"1686","pseudo"
"1687","real"
"1688","real"
"1689","pseudo"
"1690","real"
"1691","pseudo"
"1692","pseudo"
"1693","real"
"1694","pseudo"
"1695","real"
"1696","real"
"1697","real"
"1698","pseudo"
"1699","real"
"1700","pseudo"
"1701","pseudo"
"1702","real"
"1703","pseudo"
"1704","real"
"1705","pseudo"
"1706","real"
"1707","pseudo"
"1708","pseudo"
"1709","real"
"1710","real"
"1711","pseudo"
"1712","real"
"1713","pseudo"
"1714","real"
"1715","real"
"1716","real"
"1717","real"
"1718","real"
"1719","real"
"1720","real"
"1721","pseudo"
"1722","real"
"1723","pseudo"
"1724","real"
"1725","real"
"1726","pseudo"
"1727","pseudo"
"1728","real"
"1729","real"
"1730","real"
"1731","pseudo"
"1732","pseudo"
"1733","pseudo"
"1734","real"
"1735","pseudo"
"1736","real"
"1737","real"
"1738","real"
"1739","pseudo"
"1740","pseudo"
"1741","real"
"1742","real"
"1743","real"
"1744","pseudo"
"1745","pseudo"
"1746","pseudo"
"1747","pseudo"
"1748","real"
"1749","pseudo"
"1750","pseudo"
"1751","pseudo"
"1752","pseudo"
"1753","pseudo"
"1754","real"
"1755","pseudo"
"1756","pseudo"
"1757","pseudo"
"1758","real"
"1759","pseudo"
